age,monthly_spend,days_since_last_order,support_tickets,tenure_months,churn
23,104.9558323776167,13.88628357143573,1,63,0
62,101.67672793327489,8.592097138639105,3,93,0
55,150.7586348629498,1.0138882384175043,1,68,0
43,152.76416675648554,0.12921545720766314,1,42,0
42,98.59651386493152,38.835505090376245,0,50,0
66,103.87349292279805,70.27841470626335,2,55,0
22,141.64523352872163,18.337549361444307,3,89,0
57,86.89663037061354,26.58724295970458,0,119,0
29,103.57864047939941,0.6799405293674307,0,93,0
23,123.58371069473739,48.29995903161192,1,38,0
48,159.83754739289031,19.9860470013679,4,14,0
73,95.81605535281837,80.8844004672187,1,57,0
59,46.30462151877312,29.087633856319133,1,103,0
61,43.33610129927156,18.37400787844025,3,76,0
58,69.62347733175466,0.20059015780835696,1,39,0
62,67.47329127200251,58.37708947678629,1,11,1
47,113.81556965520363,31.269360616500027,4,31,1
25,72.4447938560958,30.060815919116624,1,86,0
65,91.88980160715184,66.13086253096381,1,80,0
43,89.03656460071801,5.766483284617563,0,54,0
46,102.37968556608027,52.083987654889036,0,40,0
39,172.9001732609249,2.7685457474428556,1,21,0
28,146.47790357722067,1.751626104447233,2,116,0
70,120.64517661104016,70.34975563691087,3,52,0
62,101.55894877676647,80.59424499493431,0,92,0
54,102.67069373507915,4.424543234829376,0,55,0
40,133.109858798078,8.890456592489963,2,68,0
64,143.3667629340916,12.84734066810164,0,77,0
49,83.69529975597598,58.89797402343247,3,43,1
43,121.45923022456925,53.902408978938155,2,112,0
43,38.73521725347892,11.209462167653326,0,55,0
30,128.46855136682387,44.4461630038479,0,92,0
23,150.48596967834743,1.106079614582506,3,110,0
49,108.79725492476499,8.051991373161353,1,46,0
68,192.6610798456042,21.741332407996403,2,28,0
21,84.75046210255798,19.275490964508244,1,116,0
66,128.69761661213045,16.3966051232535,0,94,0
65,118.56701013336178,4.459913578804235,1,95,0
33,115.98809330226366,49.334487597550634,0,113,0
54,115.4271132798101,7.107751574677884,2,4,0
27,124.28420120037887,47.57691894094967,1,113,0
61,153.918349738548,40.79200446721654,1,14,0
57,175.10944945098976,14.986930376193156,0,18,0
38,119.9099902198337,21.430211774866283,1,26,0
21,152.61264288686533,18.361933766898357,3,14,0
73,91.9293221493287,142.77867888673154,1,10,0
43,150.63821810904932,16.92457968899563,3,15,0
68,89.52033904692038,69.88248230082179,0,58,0
56,163.6263974435253,46.83526211949058,2,45,0
62,208.42563509572958,33.065231197533116,2,41,0
61,115.11664448114433,1.2752767737647805,1,21,0
29,32.29826036770365,15.786123955353922,2,116,0
38,98.07708267020708,73.67954464536764,3,40,0
44,169.27500537157215,41.42731624968037,0,57,0
46,142.1230714810098,63.58495215261961,1,17,0
20,129.9565439470012,14.449960657343407,2,26,0
49,160.34673423819356,0.5664257698365189,3,28,0
26,139.37813756993688,56.959991527879644,3,116,0
